player_name,birthdate,turned_pro,weight_kg,height_cm,handedness,backhand,percentage_aces,percentage_df,percentage_1stwon,percentage_bpsaved,percentage_bpobtained,percentage_bpconverted
andriolo_s.,,0.0,0.0,0.0,,,0.03389830508474576,0.1016949152542373,0.631578947368421,0.3333333333333333,0.038461538461538464,0.5
avila_x.,1973.12.10,0.0,73.0,183.0,,,0.011904761904761904,0.047619047619047616,0.64,0.375,0.1276595744680851,0.33333333333333337
allen_y.,,0.0,0.0,0.0,,,,,,,,
awopegba_l.,,0.0,0.0,0.0,,,,,,,,
arnold_p.,1971.10.20,0.0,73.0,183.0,,,0.04979682451613376,0.033322349874584566,0.6504016737162139,0.5543833943833943,0.06596618491225259,0.42500000000000004
arazi_h.,1973.10.19,1993.0,65.0,175.0,,,0.051757009613760965,0.027576068110083223,0.6837507977735626,0.5738702732235764,0.09110040421099704,0.41726172383309346
arnoldker_l.,1974.10.12,1994.0,76.0,180.0,,,,,,,,
angelini_p.,1971.12.07,0.0,0.0,0.0,,,0.0,0.09090909090909091,0.43478260869565216,0.3333333333333333,0.07272727272727272,0.25
andersen_t.,,0.0,0.0,0.0,,,0.06451612903225806,0.04838709677419355,0.7777777777777778,0.25,0.017857142857142856,1.0
ghanimalkhulaifi_n.,1973.11.12,0.0,0.0,0.0,,,,,,,,
auffray_c.,1973.02.24,1996.0,83.0,183.0,,,0.0017211703958691911,0.06285282885946197,0.5834952162683255,0.4389499389499389,0.08649299048955116,0.6179138321995464
alonso_j.,1977.08.02,1996.0,82.0,185.0,,,0.05558839127389026,0.06571495431726056,0.6787248450086093,0.5313106826672269,0.09293876393741621,0.4433933843791968
frodeandersen_j.,1972.08.29,1997.0,85.0,191.0,Left-Handed,Two-Handed Backhand,,,,,,
andersson_h.,1977.05.02,0.0,0.0,0.0,,,0.06262626262626263,0.044444444444444446,0.4650793650793651,0.461038961038961,0.09775641025641026,0.04999999999999999
allegro_y.,1978.08.24,1997.0,82.0,183.0,,,0.07494108337058897,0.07365230642004911,0.713018443455427,0.6013605442176871,0.06459089390694063,0.4264957264957265
azzaro_l.,1978.05.30,1997.0,75.0,188.0,,,0.03444402186161821,0.006535947712418301,0.7015918195235082,0.6696428571428571,0.07041491566354963,0.19047619047619047
adaktusson_j.,1980.08.31,0.0,87.0,193.0,,,0.044642857142857144,0.026785714285714284,0.65,0.5833333333333334,0.043478260869565216,0.25
allgauer_f.,1979.01.07,0.0,0.0,0.0,,,0.08196721311475409,0.04918032786885246,0.7804878048780488,0.7142857142857143,0.0,
agaev_e.,1979.05.14,1999.0,77.0,0.0,,,0.06818181818181818,0.09090909090909091,0.5652173913043478,0.16666666666666666,0.0,
ayala_d.,1979.04.29,1998.0,77.0,175.0,,,0.14516129032258066,0.04838709677419355,0.8275862068965517,0.3333333333333333,0.0,
armando_h.,1978.05.27,1997.0,82.0,183.0,Right-Handed,One-Handed Backhand,0.043895768285137214,0.03504001121529519,0.6782983408753629,0.5433027158027156,0.0806287238819647,0.31868362831095737
arquez_p.,1980.04.12,0.0,0.0,0.0,,,0.0,0.021739130434782608,0.36,0.14285714285714285,0.14285714285714285,0.0
aspelin_s.,1974.05.11,1998.0,79.0,185.0,,,0.05333333333333334,0.04,0.6590909090909091,0.5,0.0547945205479452,0.25
aldi_f.,1981.09.17,1999.0,75.0,175.0,,,0.006890561102489776,0.06090575182324642,0.5846061453893585,0.5997456247456249,0.10039833368633487,0.31287477954144616
ascione_t.,1981.01.17,2000.0,89.0,188.0,Right-Handed,One-Handed Backhand,0.050142488074754576,0.03737313880153641,0.6676563727805572,0.5528638986456326,0.07325300982618825,0.400902724726254
